央视频道,#genre#
CCTV-01, #http://goo.bkpcp.top/mg/cctv1#http://z.b.bkpcp.top/m.php?id=cctv1#http://222.130.87.54:4022/rtp/239.3.1.129:8008#http://180.111.172.12:10001/rtp/239.49.8.19:9614$江苏新cmc#http://171.213.214.85:4022/rtp/239.93.0.184:5140$四川cmc#http://125.113.55.3:4000/rtp/233.50.201.118:5140$浙江电信#http://121.225.176.42:10001/rtp/239.49.8.19:9614$江苏新cmc#http://115.199.195.195:8000/rtp/233.50.201.118:5140$浙江电信#http://114.252.7.252:8686/rtp/239.3.1.129:8008#http://114.254.80.30:4022/rtp/239.3.1.129:8008#http://60.162.88.135:9999/rtp/233.50.201.118:5140$浙江电信#http://60.179.73.69:9999/rtp/233.50.201.118:5140$浙江电信#http://60.183.111.227:8000/rtp/233.50.201.118:5140$浙江电信
CCTV-01, CCTV1
CCTV-01,CCTV-1 综合
CCTV-01,CCTV-1综合
CCTV-01,CCTV1港澳版
CCTV-01,P2p://generationnexxxt.com:19806/f1e3bc8a344e49dab603272c8fd2641e
CCTV-01,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV-01,http://1.24.190.122:1080/hls/1/index.m3u8
CCTV-01,http://1.58.243.57:4000/udp/229.58.190.129:5000
CCTV-01,http://1.58.243.57:4000/udp/229.58.190.151:5000
CCTV-01,http://1.itv.nctv.top:35455/gaoma/cctv1.m3u8
CCTV-01,http://10.255.128.136/PLTV/88888888/224/3221225633/10000100000000060000000000000170_0.smil/index.m3u8?fmt=ts2hls
CCTV-01,http://101.65.34.130:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-01,http://101.81.76.41:4001/udp/239.45.3.145:5140
CCTV-01,http://103.48.232.8:8008/paiptv/CCTV-1.m3u8
CCTV-01,http://106.111.244.182:60001/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-01,http://106.52.31.219:9901aaaaaaaa
CCTV-01,http://107.174.52.32/itv.php?id=CCTV1
CCTV-01,http://110.177.148.13:58888/udp/239.1.1.7:8007
CCTV-01,http://110.178.52.143:8082/udp/239.1.1.7:8007
CCTV-01,http://110.178.52.190:8082/udp/239.1.1.7:8007
CCTV-01,http://110.253.152.47:8888/rtp/239.253.92.83:8012
CCTV-01,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8
CCTV-01,http://110.7.128.164:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-01,http://110.7.128.167:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-01,http://110.7.128.180:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-01,http://110.7.128.210:8096/tsfile/live/0001_1.m3u8
CCTV-01,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8
CCTV-01,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
